# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.89e+00  1.91e+00    1.95e+00  1.95e+00    2.90e-02  3.01e-02    1.0e-03
    100    7.34e-01  7.66e-01    4.69e-03  5.90e-03    2.32e-02  2.42e-02    1.0e-03
    200    6.72e-01  6.64e-01    4.66e-03  3.64e-03    2.12e-02  2.10e-02    1.0e-03
    300    6.29e-01  6.69e-01    5.48e-03  2.79e-03    1.99e-02  2.11e-02    1.0e-03
    400    5.70e-01  5.86e-01    2.12e-02  1.66e-02    1.80e-02  1.85e-02    1.0e-03
    500    5.26e-01  5.54e-01    1.14e-02  6.01e-03    1.66e-02  1.75e-02    1.0e-03
    600    5.00e-01  6.51e-01    1.89e-02  1.79e-02    1.58e-02  2.06e-02    1.0e-03
    700    4.89e-01  5.42e-01    7.94e-03  1.15e-02    1.55e-02  1.72e-02    1.0e-03
    800    4.84e-01  5.29e-01    5.23e-03  1.39e-02    1.53e-02  1.67e-02    1.0e-03
    900    4.46e-01  4.35e-01    1.03e-02  7.95e-03    1.41e-02  1.38e-02    1.0e-03
   1000    4.43e-01  4.65e-01    1.12e-02  1.03e-02    1.40e-02  1.47e-02    1.0e-03
   1100    4.57e-01  4.53e-01    5.33e-03  8.65e-03    1.45e-02  1.43e-02    1.0e-03
   1200    4.26e-01  4.69e-01    1.48e-02  1.06e-02    1.35e-02  1.48e-02    1.0e-03
   1300    4.25e-01  4.18e-01    8.13e-03  1.01e-02    1.35e-02  1.32e-02    1.0e-03
   1400    4.10e-01  4.15e-01    7.73e-03  1.12e-02    1.30e-02  1.31e-02    1.0e-03
   1500    4.31e-01  4.34e-01    6.67e-03  1.04e-02    1.36e-02  1.37e-02    1.0e-03
   1600    3.99e-01  4.37e-01    6.06e-03  4.69e-03    1.26e-02  1.38e-02    1.0e-03
   1700    3.99e-01  3.77e-01    4.79e-03  6.83e-03    1.26e-02  1.19e-02    1.0e-03
   1800    3.97e-01  3.93e-01    2.09e-02  2.36e-02    1.25e-02  1.24e-02    1.0e-03
   1900    3.92e-01  4.34e-01    9.70e-03  4.83e-03    1.24e-02  1.37e-02    1.0e-03
   2000    3.89e-01  4.30e-01    1.78e-02  2.38e-02    1.23e-02  1.36e-02    1.0e-03
   2100    4.19e-01  4.18e-01    8.35e-03  8.09e-03    1.32e-02  1.32e-02    1.0e-03
   2200    3.82e-01  3.94e-01    4.75e-03  7.05e-03    1.21e-02  1.24e-02    1.0e-03
   2300    3.80e-01  3.89e-01    4.91e-03  5.94e-03    1.20e-02  1.23e-02    1.0e-03
   2400    3.78e-01  3.89e-01    1.60e-02  1.95e-02    1.19e-02  1.23e-02    1.0e-03
   2500    3.73e-01  3.70e-01    5.90e-03  4.98e-03    1.18e-02  1.17e-02    1.0e-03
   2600    3.83e-01  3.87e-01    1.33e-02  1.14e-02    1.21e-02  1.22e-02    1.0e-03
   2700    3.63e-01  3.73e-01    1.72e-02  1.69e-02    1.15e-02  1.18e-02    1.0e-03
   2800    3.61e-01  3.47e-01    8.43e-03  1.08e-02    1.14e-02  1.10e-02    1.0e-03
   2900    3.61e-01  3.50e-01    1.16e-02  1.00e-02    1.14e-02  1.11e-02    1.0e-03
   3000    3.66e-01  3.77e-01    5.34e-03  5.12e-03    1.16e-02  1.19e-02    1.0e-03
   3100    3.68e-01  3.67e-01    1.39e-02  1.75e-02    1.16e-02  1.16e-02    1.0e-03
   3200    3.60e-01  3.59e-01    1.20e-02  9.31e-03    1.14e-02  1.13e-02    1.0e-03
   3300    3.45e-01  3.26e-01    4.28e-03  5.28e-03    1.09e-02  1.03e-02    1.0e-03
   3400    3.52e-01  3.72e-01    4.34e-03  7.40e-03    1.11e-02  1.18e-02    1.0e-03
   3500    3.49e-01  3.93e-01    4.72e-03  1.13e-02    1.10e-02  1.24e-02    1.0e-03
   3600    3.57e-01  3.41e-01    2.29e-02  1.84e-02    1.13e-02  1.08e-02    1.0e-03
   3700    3.44e-01  3.31e-01    8.35e-03  7.23e-03    1.09e-02  1.05e-02    1.0e-03
   3800    3.57e-01  3.49e-01    5.86e-03  4.23e-03    1.13e-02  1.10e-02    1.0e-03
   3900    3.49e-01  3.28e-01    4.58e-03  5.32e-03    1.10e-02  1.04e-02    1.0e-03
   4000    3.40e-01  4.27e-01    1.24e-02  1.78e-02    1.08e-02  1.35e-02    1.0e-03
   4100    3.32e-01  3.16e-01    4.69e-03  6.81e-03    1.05e-02  9.99e-03    1.0e-03
   4200    3.34e-01  3.44e-01    7.22e-03  8.11e-03    1.06e-02  1.09e-02    1.0e-03
   4300    3.36e-01  3.17e-01    1.56e-02  1.57e-02    1.06e-02  1.00e-02    1.0e-03
   4400    3.28e-01  3.25e-01    4.85e-03  1.02e-02    1.04e-02  1.03e-02    1.0e-03
   4500    3.27e-01  3.16e-01    2.07e-02  2.08e-02    1.03e-02  9.97e-03    1.0e-03
   4600    3.48e-01  3.34e-01    4.53e-02  4.11e-02    1.09e-02  1.05e-02    1.0e-03
   4700    3.23e-01  3.05e-01    8.55e-03  6.72e-03    1.02e-02  9.64e-03    1.0e-03
   4800    3.18e-01  3.32e-01    8.08e-03  9.69e-03    1.01e-02  1.05e-02    1.0e-03
   4900    3.11e-01  3.18e-01    4.83e-03  1.01e-02    9.82e-03  1.00e-02    1.0e-03
   5000    3.05e-01  3.39e-01    9.01e-03  6.38e-03    9.84e-03  1.10e-02    9.5e-04
   5100    2.93e-01  2.83e-01    1.11e-02  1.40e-02    9.42e-03  9.00e-03    9.5e-04
   5200    3.05e-01  3.33e-01    6.19e-03  5.53e-03    9.87e-03  1.08e-02    9.5e-04
   5300    2.93e-01  3.09e-01    9.40e-03  1.00e-02    9.44e-03  9.94e-03    9.5e-04
   5400    2.87e-01  2.96e-01    4.37e-03  9.05e-03    9.29e-03  9.54e-03    9.5e-04
   5500    2.96e-01  2.98e-01    9.16e-03  9.36e-03    9.54e-03  9.58e-03    9.5e-04
   5600    2.88e-01  2.93e-01    7.47e-03  6.30e-03    9.30e-03  9.46e-03    9.5e-04
   5700    2.81e-01  2.88e-01    5.79e-03  7.69e-03    9.09e-03  9.28e-03    9.5e-04
   5800    3.05e-01  3.08e-01    1.41e-02  1.42e-02    9.75e-03  9.83e-03    9.5e-04
   5900    2.84e-01  4.99e-01    9.13e-03  1.99e-02    9.15e-03  1.60e-02    9.5e-04
   6000    2.82e-01  2.79e-01    4.21e-03  4.29e-03    9.13e-03  9.05e-03    9.5e-04
   6100    2.86e-01  3.29e-01    5.15e-03  6.15e-03    9.26e-03  1.06e-02    9.5e-04
   6200    3.13e-01  3.03e-01    4.39e-03  5.65e-03    1.02e-02  9.81e-03    9.5e-04
   6300    2.75e-01  3.03e-01    3.97e-03  9.27e-03    8.90e-03  9.77e-03    9.5e-04
   6400    2.73e-01  3.03e-01    5.51e-03  2.57e-03    8.82e-03  9.81e-03    9.5e-04
   6500    2.91e-01  2.69e-01    1.28e-02  1.81e-02    9.29e-03  8.44e-03    9.5e-04
   6600    2.77e-01  3.14e-01    9.98e-03  6.58e-03    8.90e-03  1.01e-02    9.5e-04
   6700    2.68e-01  3.01e-01    1.05e-02  6.40e-03    8.58e-03  9.75e-03    9.5e-04
   6800    2.71e-01  2.75e-01    8.57e-03  6.60e-03    8.72e-03  8.88e-03    9.5e-04
   6900    2.73e-01  2.73e-01    3.95e-03  5.69e-03    8.86e-03  8.82e-03    9.5e-04
   7000    2.80e-01  5.48e-01    7.05e-03  1.72e-02    9.03e-03  1.76e-02    9.5e-04
   7100    2.67e-01  2.90e-01    7.06e-03  4.27e-03    8.61e-03  9.39e-03    9.5e-04
   7200    2.66e-01  2.80e-01    3.88e-03  7.16e-03    8.63e-03  9.04e-03    9.5e-04
   7300    2.70e-01  2.73e-01    9.09e-03  7.62e-03    8.69e-03  8.81e-03    9.5e-04
   7400    3.01e-01  2.61e-01    5.62e-03  4.34e-03    9.75e-03  8.44e-03    9.5e-04
   7500    2.70e-01  2.69e-01    4.42e-03  7.35e-03    8.75e-03  8.68e-03    9.5e-04
   7600    2.87e-01  2.86e-01    1.18e-02  1.07e-02    9.20e-03  9.18e-03    9.5e-04
   7700    2.66e-01  2.69e-01    4.38e-03  8.80e-03    8.62e-03  8.65e-03    9.5e-04
   7800    2.64e-01  2.39e-01    4.12e-03  2.08e-03    8.55e-03  7.76e-03    9.5e-04
   7900    2.61e-01  2.60e-01    3.98e-03  7.83e-03    8.45e-03  8.38e-03    9.5e-04
   8000    2.67e-01  2.75e-01    4.49e-03  8.12e-03    8.64e-03  8.88e-03    9.5e-04
   8100    2.75e-01  2.66e-01    1.60e-02  1.36e-02    8.70e-03  8.46e-03    9.5e-04
   8200    2.67e-01  2.72e-01    4.17e-03  5.53e-03    8.66e-03  8.78e-03    9.5e-04
   8300    2.61e-01  2.65e-01    4.83e-03  8.15e-03    8.45e-03  8.52e-03    9.5e-04
   8400    2.69e-01  3.08e-01    9.74e-03  1.40e-02    8.63e-03  9.82e-03    9.5e-04
   8500    2.67e-01  2.63e-01    8.12e-03  9.38e-03    8.60e-03  8.45e-03    9.5e-04
   8600    2.54e-01  2.64e-01    4.73e-03  5.44e-03    8.23e-03  8.55e-03    9.5e-04
   8700    2.67e-01  2.43e-01    1.53e-02  1.55e-02    8.45e-03  7.64e-03    9.5e-04
   8800    2.52e-01  2.73e-01    8.02e-03  1.45e-02    8.11e-03  8.66e-03    9.5e-04
   8900    2.53e-01  2.47e-01    6.11e-03  4.69e-03    8.18e-03  8.00e-03    9.5e-04
   9000    2.59e-01  2.48e-01    4.99e-03  6.11e-03    8.39e-03  8.00e-03    9.5e-04
